Month,Team,Priority,Type,Status,Count
01/01/2020,2,HIGH,ADVERTISING,CLOSED,1
01/01/2020,3,MEDIUM,ADVERTISING,PLANNED,1
01/01/2020,8,LOW,COST_ESTIMATION,DEPLOYED,1
01/01/2020,18,MEDIUM,CHEMICAL_ENGINEERING,ON_HOLD,1
01/01/2020,25,MEDIUM,PROCUREMENT_GENERAL,PLANNED,1
01/01/2020,41,HIGH,ELECTRICAL_ENGINEERING,DEPLOYED,1
01/01/2020,13,MEDIUM,AUDITING,IN_REVIEW,1
01/01/2020,20,MEDIUM,CAPACITY_PLANNING,FINALIZED,1
01/01/2020,27,MEDIUM,RESEARCH,QA_PASSED,1
01/01/2020,4,MEDIUM,ARCHITECTURE,UAT,1
01/01/2020,39,MEDIUM,IT_POLICY,SCHEDULED,1
01/01/2020,34,LOW,EXTERNAL_AUDIT,ARCHIVED,1
01/01/2020,18,HIGH,ELECTRICAL_ENGINEERING,DELAYED,1
01/01/2020,21,HIGH,FULFILLMENT,TESTING_FAILED,1
01/01/2020,39,MEDIUM,MACHINE_LEARNING,IN_PROGRESS,1
01/01/2020,21,LOW,INVOICING,QA_PASSED,1
01/01/2020,33,MEDIUM,SEO,AWAITING_APPROVAL,1
01/01/2020,23,HIGH,FULFILLMENT,IN_QA,1
01/01/2020,18,LOW,REPAIRS,REJECTED,1
01/01/2020,26,LOW,LICENSE_MANAGEMENT,UNDER_TEST,1
01/01/2020,34,LOW,INNOVATION,AWAITING_INPUT,1
01/01/2020,17,MEDIUM,LOGISTICS,DEVELOPMENT_PHASE,1
01/01/2020,17,HIGH,PROJECT_MANAGEMENT,NOT_STARTED,1
01/01/2020,1,MEDIUM,PERFORMANCE_MONITORING,DELAYED,1
01/01/2020,6,HIGH,ACCESS_CONTROL,FINALIZED,1
01/01/2020,8,MEDIUM,STAFFING,APPROVED,1
01/01/2020,22,HIGH,FIELD_TESTING,STAGING,1
01/01/2020,25,MEDIUM,SOFTWARE_ENGINEERING,BLOCKED,1
01/01/2020,1,MEDIUM,DOCUMENTATION,DEVELOPMENT_PHASE,1
01/01/2020,4,MEDIUM,MAINTENANCE,REJECTED,1
01/01/2020,1,HIGH,ANALYTICS,REOPENED,1
01/01/2020,1,MEDIUM,INTERNAL_AUDIT,MIGRATING,1
01/01/2020,30,LOW,RESEARCH,READY_FOR_DEPLOYMENT,1
01/01/2020,2,HIGH,RESOURCE_MANAGEMENT,APPROVED,1
